✅ Fetched 25850 candles total
✅ Loaded 25850 candles

🚀 Running 480 backtests in parallel...
   • Greedy Momentum: 3 periods × 4 patience × 4 margins
   • Greedy EMA Cross: 3 EMA pairs × 4 patience × 4 margins
   • 96 strategy configurations × 5 loss tolerances = 480 total tests

🚀 Running 480 backtests in parallel...


✅ All tests complete!

  [112/480] GreedyMom(p=14, patience=288, margin=0.75%) @ 0.10% loss → APY_USD: 50.9%, Trades: 13, Rejected: 0B/0S
  [113/480] GreedyMom(p=14, patience=288, margin=0.75%) @ 0.50% loss → APY_USD: 50.9%, Trades: 13, Rejected: 0B/0S
  [114/480] GreedyMom(p=14, patience=288, margin=0.75%) @ 1.00% loss → APY_USD: 2.9%, Trades: 3, Rejected: 0B/0S
  [115/480] GreedyMom(p=14, patience=288, margin=0.75%) @ 2.50% loss → APY_USD: 2.9%, Trades: 3, Rejected: 0B/0S
  [116/480] GreedyMom(p=14, patience=288, margin=1.0%) @ 0.00% loss → APY_USD: 59.3%, Trades: 13, Rejected: 0B/0S
  [117/480] GreedyMom(p=14, patience=288, margin=1.0%) @ 0.10% loss → APY_USD: 59.3%, Trades: 13, Rejected: 0B/0S
  [118/480] GreedyMom(p=14, patience=288, margin=1.0%) @ 0.50% loss → APY_USD: 59.3%, Trades: 13, Rejected: 0B/0S
  [119/480] GreedyMom(p=14, patience=288, margin=1.0%) @ 1.00% loss → APY_USD: 59.3%, Trades: 13, Rejected: 0B/0S
  [120/480] GreedyMom(p=14, patience=288, margin=1.0%) @ 2.50% loss → APY_USD: 12.1%, Trades: 14, Rejected: 0B/0S
  [121/480] GreedyMom(p=14, patience=576, margin=0.3%) @ 0.00% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [122/480] GreedyMom(p=14, patience=576, margin=0.3%) @ 0.10% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [123/480] GreedyMom(p=14, patience=576, margin=0.3%) @ 0.50% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [124/480] GreedyMom(p=14, patience=576, margin=0.3%) @ 1.00% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [125/480] GreedyMom(p=14, patience=576, margin=0.3%) @ 2.50% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [126/480] GreedyMom(p=14, patience=576, margin=0.5%) @ 0.00% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [127/480] GreedyMom(p=14, patience=576, margin=0.5%) @ 0.10% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [128/480] GreedyMom(p=14, patience=576, margin=0.5%) @ 0.50% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [129/480] GreedyMom(p=14, patience=576, margin=0.5%) @ 1.00% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [130/480] GreedyMom(p=14, patience=576, margin=0.5%) @ 2.50% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [131/480] GreedyMom(p=14, patience=576, margin=0.75%) @ 0.00% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [132/480] GreedyMom(p=14, patience=576, margin=0.75%) @ 0.10% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [133/480] GreedyMom(p=14, patience=576, margin=0.75%) @ 0.50% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
